title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
"Jujutsu Kaisen, Vol. 10",https://www.bookdepository.com/Jujutsu-Kaisen-Vol-10-Gege-Akutami/9781974720750,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974720750.jpg,Paperback,2021,14.58,Gege Akutami,4.57,"Viz Media, Subs. of Shogakukan Inc",192,9781974720750,"San Francisco, United States",Graphic Novels: Manga,8
The Silent Patient,https://www.bookdepository.com/Silent-Patient-Alex-Michaelides/9781409181637,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4091/9781409181637.jpg,Paperback,2020,14.03,Alex Michaelides,4.12,Orion Publishing Co,352,9781409181637,"London, United Kingdom",Contemporary Fiction,24
The Untethered Soul,https://www.bookdepository.com/Untethered-Soul-Michael-Singer/9781572245372,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5722/9781572245372.jpg,Paperback,2007,19.28,Michael A. Singer,4.17,New Harbinger Publications,200,9781572245372,"Oakland, CA, United States","Cognitivism, Cognitive Theory",13
The Very Hungry Caterpillar,https://www.bookdepository.com/Very-Hungry-Caterpillar-Eric-Carle/9780241003008,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2410/9780241003008.jpg,Board book,1994,13.1,Eric Carle,4.29,Penguin Random House Children's UK,24,9780241003008,"London, United Kingdom",Picture Books,45
The Song of Achilles,https://www.bookdepository.com/Song-Achilles-Madeline-Miller/9781526648174,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526648174.jpg,Hardback,2021,36.46,Madeline Miller,4.41,Bloomsbury Publishing PLC,384,9781526648174,"London, United Kingdom",Contemporary Fiction,10
Afterlives,https://www.bookdepository.com/Afterlives-Abdulrazak-Gurnah/9781526615893,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526615893.jpg,Paperback,2021,24.7,Abdulrazak Gurnah,4.01,Bloomsbury Publishing Plc,288,9781526615893,"London, United Kingdom",Contemporary Fiction,16
"The Boy, the Mole, the Fox and the Horse",https://www.bookdepository.com/Boy-Mole-Fox-Horse-Charlie-Mackesy/9780062976581,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0629/9780062976581.jpg,Hardback,2020,28.59,Charlie Mackesy,4.59,HarperOne,128,9780062976581,,Graphic Novels: Literary & Memoirs,15
November 9,https://www.bookdepository.com/November-9-Colleen-Hoover/9781501110344,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501110344.jpg,Paperback,2015,25.68,Colleen Hoover,4.33,Simon & Schuster,320,9781501110344,"New York, United States",Contemporary Fiction,46
Ottolenghi Test Kitchen: Shelf Love,https://www.bookdepository.com/Ottolenghi-Test-Kitchen-Shelf-Love-Yotam-Ottolenghi/9781529109481,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529109481.jpg,Paperback,2021,41.75,Yotam Ottolenghi,4,Ebury Publishing,256,9781529109481,"London, United Kingdom",Food & Drink,33
"86 - EIGHTY SIX, Vol. 1 (light novel)",https://www.bookdepository.com/86-EIGHTY-SIX-Vol-1-light-novel-Asato-Asato/9781975303129,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975303129.jpg,Paperback,2019,21.21,Asato Asato,4.48,"Little, Brown & Company",224,9781975303129,"New York, United States",Children's General Story Books,44
